RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
1,"RL33243","5/4/2020","Small Business Administration: A Primer on Programs and Funding","https://crsreports.congress.gov/product/pdf/download/RL/RL33243/RL33243.pdf/","111","01/23/2006"
2,"IF11529","5/1/2020","A Brief Overview of FEMA's Public Assistance Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11529/IF11529.pdf/","3","05/01/2020"
3,"R45122","5/1/2020","Afghanistan: Background and U.S. Policy: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R45122/R45122.pdf/","39","03/05/2018"
4,"IN11375","5/1/2020","CARES Act Economic Impact Payments for Veterans Not Required to File Tax Returns","https://crsreports.congress.gov/product/pdf/download/IN/IN11375/IN11375.pdf/","2","05/01/2020"
5,"IF11531","5/1/2020","Defense Primer: National Security Space Launch","https://crsreports.congress.gov/product/pdf/download/IF/IF11531/IF11531.pdf/","1","05/01/2020"
6,"IF11530","5/1/2020","Dislocated Worker Activities in the Workforce Innovation and Opportunity Act (WIOA)","https://crsreports.congress.gov/product/pdf/download/IF/IF11530/IF11530.pdf/","1","05/01/2020"
7,"LSB10456","5/1/2020","Executive Order on the Food Supply Chain and the Defense Production Act: FAQs","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10456/LSB10456.pdf/","1","05/01/2020"
8,"R46340","5/1/2020","Federal Response to COVID-19: Department of Veterans Affairs ","https://crsreports.congress.gov/product/pdf/download/R/R46340/R46340.pdf/","1","05/01/2020"
9,"R46270","5/1/2020","Global Economic Effects of COVID-19","https://crsreports.congress.gov/product/pdf/download/R/R46270/R46270.pdf/","20","03/13/2020"
10,"IN11368","5/1/2020","Larger Businesses and COVID-19: Financial Relief and Assistance Resources","https://crsreports.congress.gov/product/pdf/download/IN/IN11368/IN11368.pdf/","3","04/30/2020"
11,"LSB10433","5/1/2020","Legal Issues Related to the COVID-19 Outbreak: An Overview","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10433/LSB10433.pdf/","8","03/26/2020"
12,"R41129","5/1/2020","Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R41129/R41129.pdf/","179","03/22/2010"
13,"RL32665","5/1/2020","Navy Force Structure and Shipbuilding Plans: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL32665/RL32665.pdf/","298","02/16/2005"
14,"IN11376","5/1/2020","Noncitizens and Eligibility for the 2020 Recovery Rebates","https://crsreports.congress.gov/product/pdf/download/IN/IN11376/IN11376.pdf/","1","05/01/2020"
15,"IF11528","5/1/2020","Oil and Gas Tax Preferences ","https://crsreports.congress.gov/product/pdf/download/IF/IF11528/IF11528.pdf/","1","05/01/2020"
16,"IF11527","5/1/2020","Relocation of the USDA Research Agencies: NIFA and ERS","https://crsreports.congress.gov/product/pdf/download/IF/IF11527/IF11527.pdf/","2","05/01/2020"
17,"R43838","5/1/2020","Renewed Great Power Competition: Implications for Defense-Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43838/R43838.pdf/","57","12/31/2014"
18,"R44412","5/1/2020","SBA Disaster Loan Program: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44412/R44412.pdf/","5","03/10/2016"
19,"IN11374","5/1/2020","The Paycheck Protection Program (PPP) and Larger Borrowers: Oversight Efforts and Options for Congress","https://crsreports.congress.gov/product/pdf/download/IN/IN11374/IN11374.pdf/","1","05/01/2020"
20,"IN11372","5/1/2020","The Prior Practice of Proxy Voting in House Committee","https://crsreports.congress.gov/product/pdf/download/IN/IN11372/IN11372.pdf/","1","05/01/2020"
21,"R44452","5/1/2020","The Selective Service System and Draft Registration: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44452/R44452.pdf/","13","04/11/2016"
22,"R42784","5/1/2020","U.S.-China Strategic Competition in South and East China Seas: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42784/R42784.pdf/","104","10/24/2012"
23,"IF11526","5/1/2020","U.S.-Kenya FTA Negotiations","https://crsreports.congress.gov/product/pdf/download/IF/IF11526/IF11526.pdf/","1","05/01/2020"
24,"R46339","5/1/2020","Unauthorized Immigrants' Eligibility for COVID-19 Relief Benefits: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R46339/R46339.pdf/","1","05/01/2020"
25,"IF11525","4/30/2020","COVID-19: National Security and Defense Strategy","https://crsreports.congress.gov/product/pdf/download/IF/IF11525/IF11525.pdf/","1","04/30/2020"
26,"R46336","4/30/2020","COVID-19: Potential Implications for International Security Environment-Overview of Issues and Further Reading for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46336/R46336.pdf/","1","04/30/2020"
27,"IN11367","4/30/2020","Federal Health Centers and COVID-19","https://crsreports.congress.gov/product/pdf/download/IN/IN11367/IN11367.pdf/","2","04/30/2020"
28,"R46341","4/30/2020","Federal Research and Development (R&D) Funding: FY2021","https://crsreports.congress.gov/product/pdf/download/R/R46341/R46341.pdf/","2","05/04/2020"
29,"R44972","4/30/2020","Navy Frigate (FFG[X]) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44972/R44972.pdf/","54","09/28/2017"
30,"LSB10455","4/30/2020","Our Lady of Guadalupe and the Ministerial Exception to Antidiscrimination Laws","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10455/LSB10455.pdf/","1","04/30/2020"
31,"IN11370","4/30/2020","SBA EIDL and Emergency EIDL Grants for COVID-19","https://crsreports.congress.gov/product/pdf/download/IN/IN11370/IN11370.pdf/","1","04/30/2020"
32,"R41146","4/30/2020","Small Business Administration 7(a) Loan Guaranty Program","https://crsreports.congress.gov/product/pdf/download/R/R41146/R41146.pdf/","118","03/26/2010"
33,"IN11373","4/30/2020","Strategic Petroleum Reserve: Recent Developments","https://crsreports.congress.gov/product/pdf/download/IN/IN11373/IN11373.pdf/","2","05/01/2020"
34,"IN11371","4/30/2020","Temporary Deferment of Import Duty Payments","https://crsreports.congress.gov/product/pdf/download/IN/IN11371/IN11371.pdf/","1","04/30/2020"
35,"R46337","4/30/2020","Transfer of Defense Articles: Sale and Export of U.S.-Made Arms to Foreign Entities","https://crsreports.congress.gov/product/pdf/download/R/R46337/R46337.pdf/","1","04/30/2020"
36,"IF11429","4/30/2020","U.N. Ban on Iran Arms Transfers","https://crsreports.congress.gov/product/pdf/download/IF/IF11429/IF11429.pdf/","3","02/14/2020"
37,"IN11369","4/30/2020","U.S. Funding to the World Health Organization (WHO)","https://crsreports.congress.gov/product/pdf/download/IN/IN11369/IN11369.pdf/","1","04/30/2020"
38,"R46338","4/30/2020","Veto Threats and Vetoes in the George W. Bush and Obama Administrations","https://crsreports.congress.gov/product/pdf/download/R/R46338/R46338.pdf/","2","04/30/2020"
39,"IF11367","4/29/2020","Army Future Vertical Lift (FVL) Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11367/IF11367.pdf/","4","11/20/2019"
40,"IN11290","4/29/2020","COVID-19 and Direct Payments to Individuals: Economic Impact Payments (EIPs) for Social Security and Supplemental Security Income Beneficiaries","https://crsreports.congress.gov/product/pdf/download/IN/IN11290/IN11290.pdf/","5","03/27/2020"
41,"IN11366","4/29/2020","COVID-19 Disrupts U.S. Meat Supply; Producer Prices Tumble","https://crsreports.congress.gov/product/pdf/download/IN/IN11366/IN11366.pdf/","1","04/29/2020"
42,"IN11357","4/29/2020","COVID-19-Related Loan Assistance for Agricultural Enterprises","https://crsreports.congress.gov/product/pdf/download/IN/IN11357/IN11357.pdf/","4","04/23/2020"
43,"IF10553","4/29/2020","Defense Primer: RDT&E","https://crsreports.congress.gov/product/pdf/download/IF/IF10553/IF10553.pdf/","11","12/15/2016"
44,"RL30563","4/29/2020","F-35 Joint Strike Fighter (JSF) Program","https://crsreports.congress.gov/product/pdf/download/RL/RL30563/RL30563.pdf/","71","01/18/2005"
45,"R44283","4/29/2020","Global Research and Development Expenditures: Fact Sheet","https://crsreports.congress.gov/product/pdf/download/R/R44283/R44283.pdf/","13","11/25/2015"
46,"R44017","4/29/2020","Iran's Foreign and Defense Policies","https://crsreports.congress.gov/product/pdf/download/R/R44017/R44017.pdf/","77","05/05/2015"
47,"R42917","4/29/2020","Mexico: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/R/R42917/R42917.pdf/","48","01/16/2013"
48,"R46335","4/29/2020","Saltonstall-Kennedy Act: Background and Issues","https://crsreports.congress.gov/product/pdf/download/R/R46335/R46335.pdf/","1","04/29/2020"
49,"R46334","4/29/2020","Selected Health Provisions in Title III of the CARES Act (P.L. 116-136)","https://crsreports.congress.gov/product/pdf/download/R/R46334/R46334.pdf/","1","04/29/2020"
50,"R41057","4/29/2020","Small Business Administration Microloan Program","https://crsreports.congress.gov/product/pdf/download/R/R41057/R41057.pdf/","67","02/01/2010"
51,"R46327","4/29/2020","The Office of Technology Assessment: History, Authorities, Issues, and Options","https://crsreports.congress.gov/product/pdf/download/R/R46327/R46327.pdf/","4","04/27/2020"
52,"R43453","4/29/2020","The Renewable Electricity Production Tax Credit: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R43453/R43453.pdf/","19","03/31/2014"
53,"IF10199","4/29/2020","U.S.-Japan Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10199/IF10199.pdf/","14","04/17/2015"
54,"IF10246","4/29/2020","U.S.-North Korea Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10246/IF10246.pdf/","13","06/26/2015"
55,"R45008","4/29/2020","Ukraine: Background, Conflict with Russia, and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R45008/R45008.pdf/","11","11/02/2017"
56,"IF11521","4/28/2020","Air Force F-15EX Fighter Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11521/IF11521.pdf/","2","04/28/2020"
57,"R41153","4/28/2020","Changes in the Arctic: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R41153/R41153.pdf/","161","04/01/2010"
58,"LSB10453","4/28/2020","COVID-19 and Libraries: E-Books and Intellectual Property Issues","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10453/LSB10453.pdf/","1","04/28/2020"
59,"R46333","4/28/2020","Fintech: Overview of Financial Regulators and Recent Policy Approaches","https://crsreports.congress.gov/product/pdf/download/R/R46333/R46333.pdf/","1","04/28/2020"
60,"R46332","4/28/2020","Fintech: Overview of Innovative Financial Technology and Selected Policy Issues","https://crsreports.congress.gov/product/pdf/download/R/R46332/R46332.pdf/","3","04/28/2020"
61,"R46331","4/28/2020","Health Care-Related Expiring Provisions of the 116th Congress, Second Session","https://crsreports.congress.gov/product/pdf/download/R/R46331/R46331.pdf/","3","04/28/2020"
62,"IF11523","4/28/2020","Health Insurance Options for Terminated Employees","https://crsreports.congress.gov/product/pdf/download/IF/IF11523/IF11523.pdf/","1","04/28/2020"
63,"LSB10454","4/28/2020","No Judicial Review of Certain Patent Office Decisions, Supreme Court Holds","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10454/LSB10454.pdf/","1","04/28/2020"
64,"IN11365","4/28/2020","President Trump Criticizes VOA Coverage of China's COVID-19 Response","https://crsreports.congress.gov/product/pdf/download/IN/IN11365/IN11365.pdf/","1","04/28/2020"
65,"IF11136","4/28/2020","Prior Converted Cropland Under the Clean Water Act","https://crsreports.congress.gov/product/pdf/download/IF/IF11136/IF11136.pdf/","6","03/14/2019"
66,"R46330","4/28/2020","Proposals for a COVID-19 Congressional Advisory Commission: A Comparative Analysis","https://crsreports.congress.gov/product/pdf/download/R/R46330/R46330.pdf/","1","04/28/2020"
67,"IF11524","4/28/2020","Quantum Information Science: Congressional Activity and Federal Policy Recommendations","https://crsreports.congress.gov/product/pdf/download/IF/IF11524/IF11524.pdf/","1","04/29/2020"
68,"IN11301","4/28/2020","Small Businesses and COVID-19: Relief and Assistance Resources","https://crsreports.congress.gov/product/pdf/download/IN/IN11301/IN11301.pdf/","5","04/01/2020"
69,"IF11522","4/28/2020","Social Security: Selected Findings of the 2020 Annual Report","https://crsreports.congress.gov/product/pdf/download/IF/IF11522/IF11522.pdf/","1","04/28/2020"
70,"IN11296","4/28/2020","Tax Treatment of Net Operating Losses (NOLs) in the Coronavirus Aid, Relief, and Economic Security (CARES) Act","https://crsreports.congress.gov/product/pdf/download/IN/IN11296/IN11296.pdf/","5","03/31/2020"
71,"R46279","4/28/2020","The Coronavirus Aid, Relief, and Economic Security (CARES) Act-Tax Relief for Individuals and Businesses","https://crsreports.congress.gov/product/pdf/download/R/R46279/R46279.pdf/","19","03/20/2020"
72,"R45928","4/28/2020","The Federal Contraceptive Coverage Requirement: Past and Pending Legal Challenges","https://crsreports.congress.gov/product/pdf/download/R/R45928/R45928.pdf/","2","09/24/2019"
73,"IN11343","4/28/2020","The Pandemic Response Accountability Committee: Organization and Duties","https://crsreports.congress.gov/product/pdf/download/IN/IN11343/IN11343.pdf/","3","04/17/2020"
74,"R46329","4/28/2020","Treasury and Federal Reserve Financial Assistance in Title IV of the CARES Act (P.L. 116-136)","https://crsreports.congress.gov/product/pdf/download/R/R46329/R46329.pdf/","2","04/28/2020"
75,"IF11427","4/27/2020","African Elections in 2020 ","https://crsreports.congress.gov/product/pdf/download/IF/IF11427/IF11427.pdf/","4","02/13/2020"
76,"IN11363","4/27/2020","Congressional Oversight Provisions in the Paycheck Protection Program and Health Care Enhancement Act","https://crsreports.congress.gov/product/pdf/download/IN/IN11363/IN11363.pdf/","1","04/27/2020"
77,"R46284","4/27/2020","COVID-19 Relief Assistance to Small Businesses: Issues and Policy Options","https://crsreports.congress.gov/product/pdf/download/R/R46284/R46284.pdf/","12","03/25/2020"
78,"LSB10439","4/27/2020","Entry Restrictions at the Northern and Southern Borders in Response to COVID-19","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10439/LSB10439.pdf/","6","04/02/2020"
79,"LSB10357","4/27/2020","Federal Capital Punishment: Recent Developments","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10357/LSB10357.pdf/","3","10/24/2019"
80,"R46328","4/27/2020","Flood Risk Reduction from Natural and Nature-Based Features: Army Corps of Engineers Authorities","https://crsreports.congress.gov/product/pdf/download/R/R46328/R46328.pdf/","1","04/28/2020"
81,"IN11364","4/27/2020","Forest Service Announces Timber Sale Contract Relief","https://crsreports.congress.gov/product/pdf/download/IN/IN11364/IN11364.pdf/","1","04/27/2020"
82,"LSB10423","4/27/2020","From Clickwrap to RAP Sheet: Criminal Liability under the Computer Fraud and Abuse Act for Terms of Service Violations","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10423/LSB10423.pdf/","5","03/19/2020"
83,"RL34027","4/27/2020","Honduras: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/RL/RL34027/RL34027.pdf/","66","06/04/2007"
84,"R46288","4/27/2020","Occupational Safety and Health Administration (OSHA): Emergency Temporary Standards (ETS) and COVID-19","https://crsreports.congress.gov/product/pdf/download/R/R46288/R46288.pdf/","5","03/26/2020"
85,"IN11292","4/27/2020","Overview of Recent Responses to COVID-19 by the Judicial Conference of the United States, Administrative Office of the U.S. Courts, and Select Courts Within the Federal Judiciary","https://crsreports.congress.gov/product/pdf/download/IN/IN11292/IN11292.pdf/","3","03/30/2020"
86,"IN11355","4/27/2020","Paycheck Protection Program (PPP) Lending Set Asides for Community Development Financial Institutions (CDFIs)","https://crsreports.congress.gov/product/pdf/download/IN/IN11355/IN11355.pdf/","3","04/23/2020"
